"Local Identifier","Title/Name","PSAP Assessment Score","Assessment Type","Location","Resource Type","Parent Resource","Format","Format Ink/Media Type","Format Support Type","Significance","Language","Rights","Description","Created","Updated","Has the disc been played back recently, or is there documentation of its playback quality?","Assess the level of palmitic acid deposits on the disc surface","If this disc is a lacquered (instantaneous) disc, what is the disc's core material?","Assess the level of dust, dirt or debris on this disc","Is this item exhibiting mold and/or pest (e.g. insect, rodent) damage?","What is the state of the disc, in terms of physical damage sustained?","Is the disc protected by an inner sleeve?","Does the container or item have any meaningful labeling?","Does this item have an appropriate container in good condition?","Is this item properly supported in storage?","Do you have appropriate playback equipment for this item?","Is this item played back or handled regularly?","Is this a unique item in terms of its content?"
"","2002.03.33.0816","29.25","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-06-04T23:30:02Z","2018-06-05T00:46:46Z","Yes","Moderate","Cardboard","Moderate","Neither","Serious","Yes","Yes","Yes","Yes","Yes","No","Yes"
"","2002.03.33.0836","36.0","Item-Level","Basement","Item"," ","Lacquer Disc"," "," ",""," ","","","2018-06-19T23:33:53Z","2018-06-19T23:35:12Z","No","None","Metal","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0842","77.0","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-19T23:51:42Z","2018-06-20T00:43:30Z","No"," "," ","Slight/None","Neither","Good","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0843","63.5","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T00:44:36Z","2018-06-20T00:47:32Z","No"," "," ","Slight/None","Neither","Critical","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0844","80.75","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T00:58:07Z","2018-06-20T00:59:23Z","Yes"," "," ","Slight/None","Neither","Good","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0845","76.25","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T01:00:03Z","2018-06-20T01:01:25Z","Yes"," "," ","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0846","76.25","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T01:23:27Z","2018-06-20T01:26:15Z","Yes"," "," ","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0847","72.5","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T01:26:56Z","2018-06-20T01:28:21Z","No"," "," ","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0848","68.0","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T01:29:00Z","2018-06-20T01:30:01Z","No"," "," ","Slight/None","Neither","Serious","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0849","76.25","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T22:47:32Z","2018-06-20T22:48:22Z","Yes"," "," ","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0850","76.25","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T22:49:02Z","2018-06-20T22:50:05Z","Yes"," "," ","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0851","76.25","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T22:50:50Z","2018-06-20T22:52:09Z","Yes"," "," ","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0852","72.5","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T22:53:48Z","2018-06-20T22:55:59Z","No"," "," ","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0853","76.25","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T22:56:42Z","2018-06-20T22:58:01Z","Yes"," "," ","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0854","76.25","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T22:58:54Z","2018-06-20T23:00:28Z","Yes"," "," ","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0855","76.25","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T23:01:12Z","2018-06-20T23:02:35Z","Yes"," "," ","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0856","76.25","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T23:04:19Z","2018-06-20T23:05:29Z","Yes"," "," ","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0857","76.25","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T23:10:10Z","2018-06-20T23:34:48Z","Yes"," "," ","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
"","2002.03.33.0858","76.25","Item-Level","Basement","Item"," ","Vinyl Disc"," "," ",""," ","","","2018-06-20T23:35:28Z","2018-06-20T23:36:30Z","Yes"," "," ","Slight/None","Neither","Fair","Yes","Yes","No","No","Yes","No","Yes"
